0.2113	1.0
0.1068	1.0
0.2424	1.0
0.1918	1.0
0.2583	1.0
0.39	1.0
0.7203	1.0
0.2125	1.0
0.2423	1.0
0.1875	1.0
0.4474	1.0
0.5	1.0
0.3583	1.0
0.0749	1.0
0.17	1.0
0.44	1.0
0.2149	1.0
0.1768	1.0
0.122	1.0
0.2853	1.0
0.1982	1.0
0.3722	1.0
0.1822	1.0
0.2481	1.0
0.5167	1.0
0.3531	1.0
0.35	1.0
0.1142	1.0
0.0238	1.0
0.45	1.0
0.2056	1.0
0.2194	1.0
0.3161	1.0
0.4067	1.0
0.2794	1.0
0.0875	1.0
0.1806	1.0
0.281	1.0
0.4848	1.0
0.2445	1.0
0.1544	1.0
0.1869	1.0
0.1291	1.0
0.1765	1.0
0.35	1.0
0.1788	1.0
0.1894	1.0
