% 1. Title: Semantic Textual Similarity Scores
% 2. Sources:
%	(a) Creator: Avishek Dan
%	(b) Date: 12, 2013

@RELATION similarity

@ATTRIBUTE jacard NUMERIC
@ATTRIBUTE dependency NUMERIC
@ATTRIBUTE score NUMERIC

@DATA
3.1696194077712545,3.5658015040988564,4.0
0.0,0.0,5.0
1.7668972641360177,0.809404810241898,5.0
0.0,0.0,4.667
2.9385312517172775,1.4754799076620397,4.5
2.7932999549891733,1.4033198002753413,5.0
2.76979245385195,1.1266209284994693,4.5
2.769331429592207,1.614794666323236,5.0
2.857142857142857,2.0655344665988347,4.0
0.7999999999999999,0.3333333345750968,4.5
1.2231637060841023,0.4435340784723382,4.0
1.3928571428571423,0.8293650807620632,3.75
1.3876950673558504,0.7622982435555782,2.2
0.0,0.0,4.5
4.529198868113893,2.6588973334677317,4.75
